switch/name,switch/url,switch/price,switch/description
Tecsee Coral Tactile Switches,https://kbdfans.com/collections/switches/products/tecsee-coral-switch,$6.50,Specs Tactile 5 pins Stem: NYLON 1.8mm Pre-Travel 3.0mm Total Travel 55g Actuation 68g Bottom Out Standard Gold Spring:68g Sold as one pack of 10 switches
Tecsee Carrot Linear Switches,https://kbdfans.com/collections/switches/products/kbdfans-tecsee-carrot-switch,$4.30,Tecsee Carrot Switches are linear switches that utilize Tecsee's proprietary PME housing material. It also incorporates a long-pole stem for a more consistent bottom out. Tecsee Carrot Switches specs Linear 5-pin PCB mounted Top Housing: PME Material Bottom Housing: PME Material Stem: POM Actuation: 55g Bottom Out: 67g Pre-Travel: 2mm Total Travel: 3.5mm Lightly Pre-Lubed MX-Style 10 included in each pack
Gateron blizzard Tactile switches,https://kbdfans.com/collections/switches/products/gateron-snowstorm-switches,$6.50,"Sound Test Details Tactile Pre-lubed switches Actuation：60gf Pretravel: 2.0±0.6 mm Total travel：3.4 mm Max Operation Force: 60±15gf Pom bottom housing, PA66 top housing PCB mount 5pin MX stem Sold as one pack of 10 switches Specification https://drive.google.com/file/d/1Pp2ozZUWx1Ru_jZDHHfDeaE86GdaV4T4/view?usp=sharing"
Kailh BOX Fried Egg Silent Liner Switches,https://kbdfans.com/collections/switches/products/kailh-fried-egg-silent-switch,$6.60,Specs: Linear 5pins Operating force: 42gf Bottom contact force: 60gf Pre-travel: 1.8±0.3mm Total travel: 3.6±0.3mm Mechanical life: 60million times Sold as one pack of 10 switches
Tecsee Ice Candy Linear Switches,https://kbdfans.com/collections/switches/products/tecsee-ice-candy-linear-switches,$6.50,"Specs Linear Nylon stems, PC housing Double gold springs 63.5g Total Travel: 3.5mm PCB mounted (5 Pins) Factory pre-lubed Sold as one pack of 10 switches"
Kailh Box White Owl Clicky Switches,https://kbdfans.com/collections/switches/products/kailh-white-owl-switch,$5.50,Specs: Clicky 5pins Operating force: 46gf Tactile force: ≥70gf Pre-travel:1.8±0.4mm Total travel: 3.6±0.3mm Mechanical life:80million times Light guide transmittance≥90% Sold as one pack of 10 switches
Kailh Box Deep Sea Silent Linear Switches,https://kbdfans.com/collections/switches/products/kailh-deep-sea-gaming-switch-box-silent-switch-with-light-guide-linear10pcs,$6.80,Specs: Linear 3pins Operating force: 45gf Return force: ≥15gf Pre-travel:1.8±0.3mm Total travel: 3.6±0.3mm Mechanical life:100million times Sold as one pack of 10 switches
Kailh Box Red Bean Pudding Linear Switches,https://kbdfans.com/collections/switches/products/kailh-red-bean-pudding-box-switch,$5.50,Specs Linear 5pins Operating force: 45gf Return force: ≥35gf Pre-travel:1.8±0.4mm Total travel: 3.6±0.3mm Light guide transmittance ≥90% Mechanical life: 80million times Sold as one pack of 10 switches
Gateron BOX Ink Black/Pink Linear Switches,https://kbdfans.com/collections/switches/products/gateron-box-ink-black-pink-switch-1-pack-35pcs,$30.50,BOX Ink Pink: Type: Linear Mount: 5 pins Total travel: 3.4±0.4 mm Pre-Travel: 1.2±0.3 mm Operating pressure: 50±10gf Spring: 15.4 mm black coated stainless steel spring BOX Ink Black Type: Linear Mount: 5 pins Total travel: 3.4±0.4 mm Pre-Travel: 1.2±0.3 mm Operating pressure: 60±10gf Spring: 20 mm black coated stainless steel spring Important Note: Sold as one pack of x35 switches
Gateron BOX Ink Black/Pink Linear switches,https://kbdfans.com/collections/switches/products/gateron-box-ink-black-pink-switch,$9.50,BOX Ink Pink Type: Linear Mount: 5 pins Total travel: 3.4±0.4 mm Pre-Travel: 1.2±0.3 mm Operating pressure: 50±10gf Spring: 15.4 mm black coated stainless steel spring BOX Ink Black Type: Linear Mount: 5 pins Total travel: 3.4±0.4 mm Pre-Travel: 1.2±0.3 mm Operating pressure: 60±10gf Spring: 20 mm black coated stainless steel spring Important Note: Sold as one pack of x10 switches
Gateron Caps Milky Yellow Linear Switches,https://kbdfans.com/collections/switches/products/gateron-milky-caps-v2-switches-3pin-35-pcs,$12.00,SPECS Type: Linear Operating force: 50 cN 3 pins Pre-travel: 2.0 mm Total travel: 4.0 mm Mount: Plate mount 3pin Stem: MX style Friendly Reminds 35 per unit come with a Polycarbonate switch testing base. Download specification documents: Click
