KBD75 Hot-swap PCB with RGB underglow,https://kbdfans.com/collections/pcb/products/kbd75-hot-swap-pcb,$55.00,"SPECS   Software Support: VIA   PCB Port: Type-C   Layout: 75% fixed Layout (84 keys)   RGB support: RGB underglow   QMK, VIA support (Pre-flashed with VIA compatible firmware already)   Compatibility   Only compatible with KBD75 v3/ v3.1, D84 case   NOT compatible with the Tofu84 case   Flash Manual   KBD75 Hot-swap QMK Flash Manual   Firmware link: kbdfans_kbd75hs_via.hex"
KBD67 MKII V3 Soldered PCB,https://kbdfans.com/collections/pcb/products/kbd67mkii-pcb,$39.00,"SPECS   Software Support: VIA   PCB Version: Solder   PCB Port: Type-C   RGB support: RGB underglow   Thickness: 1.6 mm   Designed by: Ai03   Reminds: Support ISO layout   Compatibility   Compatible with KBD67 MK II, KBD67 lite, Blade65, D65 Soldered version   Only Compatible with KBD67 MKII soldered version plate   VIA firmware   Download link (same with KBD67 rev 2) (Flash Manual)   Notes: After you flash it, need to change the layout of Right Mods to 2X1.25U in the VIA (Picture reference)   Plate   KBD67 MK II Brass Plate link   D65 Plate link   KBD67 Lite PC Plate link   KBD67 Lite Brass Plate link   Optional accessories   KBD67V2 Case foam link"
KBDPAD MKII PCB,https://kbdfans.com/collections/pcb/products/kbdpad-mkii-pcb,$25.00,SPECS   Software Support: VIA   PCB Port: Type-C   PCB Version: Solder   RGB support: RGB underglow   VIA firmware: Download   Compatibility   Only Compatible with KBDPAD MKII case
Boop PCB,https://kbdfans.com/collections/pcb/products/boop-pcb,$39.00,SPECS   Software Support: VIA   PCB Port: Type-C   Soldered version PCB: RGB underglow   Hot-swap version PCB: Per-key RGB
Bella Soldered/Hot-Swap PCB,https://kbdfans.com/collections/pcb/products/bella-pcb,$40.00,Three versions of Bella PCB   1. Soldered version，multi-layout support，do not support the RGB2. Hot-swap ANSI version comes with RGB underglow and per-key RGB3. Hot-swap ISO version comes with RGB undeglow and Per-key RGB   Important Tips   Sodered Version PCB (DP0829) must use Soldered Version Plate (DP0957)   Hot-swap PCB must use Hot-swap Plate (DP0999)   VIA firmware   kbdfans_bella_rgb_iso_via.hex   kbdfans_bella_rgb_via.hex   kbdfans_bella_soldered_via.hex
KBD75RGB Hot-swap PCB (Per-key RGB),https://kbdfans.com/collections/pcb/products/kbd75rgb-hot-swap-pcb-per-key-rgb,$55.00,"SPECS   Software Support: VIA   PCB Port: Type-C   Layout: 75% fixed Layout (84 keys)   RGB support: Per-key RGB on top (without RGB underglow)   QMK, VIA support (Pre-flashed with VIA compatible firmware already)   Compatibility   Compatible with KBD75 v1/v2/v3/v3.1, Toufu84, D84 case   Flash Manual   New Flash Manual   Firmware link: kbdfans_kbd75rgb_via.bin kbd75rgb.json"
KBD67 Lite RGB ISO Hot-swap PCB,https://kbdfans.com/collections/pcb/products/kbd67-lite-rgb-iso-pcb,$55.00,"SPECS   Software Support: VIA   PCB Port: Type-C   RGB support: Per-Key RGB on top   PCB Version: Hot-swap   Compatibility   Only compatible with KBD67 lite, Blade65, KBD67v3   Do not forget to buy the ISO plate   VIA Firmware   KBD67 MKII RGB ISO bin (New Flash Manual)"
RS6 Hot-swap WKL PCB,https://kbdfans.com/collections/pcb/products/rs6-hot-swap-wkl-pcb,$45.00,"Specs   Hot swap version   Wired version   Type-C interface   60% WKL layout (no arrow keys)   7U spacebar, 1.75U Right Shift, 2.25U Left Shift   Per-key RGB on the top, no RGB underglow   South-facing RGB (ESC, 1 keys are North-facing RGB)   Pre-soldered Kailh sockets   RS special software to program (Only for Win OS, MAC users need to use virtual machine)   RGB settings are being updated and cannot be set temporarily   USB Drive Flash Method   Compatible with DZ60 RGB WKL PCB foam and most 60% case (such as Tofu60, Blade60, D60 case, etc.)   NOT support VIA, QMK firmware   NOT compatible with DZ60 RGB WKL Case foam   Flash Manual   RS6 Hot-swap PCB Flash Manual"
DZ64 RGB Hot-swap PCB,https://kbdfans.com/collections/pcb/products/dz64-rgb-hot-swap-pcb,$55.00,"SPECS   Software Support: VIA   Layout: 64 Keys layout only (Left shift 2U)   PCB Port: Type-C   RGB support: RGB Per Key on top   PCB Version: Hot-swap   Note: This PCB supports arrow keys option   Compatible with Tofu60, Five degree case, etc.   VIA Support: Download   Compatible foams: PCB foam, Case foam   Firmware   dz64rgbvia.bin (New Flash Manual)   dz64rgb.json   Layout"
Tofu96 Soldered PCB,https://kbdfans.com/collections/pcb/products/tofu96-soldered-pcb,$49.00,Specs   Soldered version   96% Layout   Flash manual : Link   Via firmware:   dztech_dz96_via.hex (without RGB underglow)   dztech_dz96 with RGB underglow_via.hex (with RGB underglow)
